"LG_Frankfurt_2-06_O_358-14";"freq";"simple";"manuel";"comment"
"1 GWB";4;"1gwb";"1 GWB";""
"133 Abs 1 S 1 UmwG";1;"133abs1s1umwg";"133 Abs 1 S 1 UmwG";""
"138 Abs 3 ZPO";3;"138abs3zpo";"138 Abs 3 ZPO";""
"156 ZPO";1;"156zpo";"156 ZPO";""
"166 BGB";1;"166bgb";"166 BGB";""
"199 Abs 1 BGB";2;"199abs1bgb";"199 Abs 1 BGB";""
"199 Abs 1 Nr 2 BGB";1;"199abs1nr2bgb";"199 Abs 1 Nr 2 BGB";""
"199 Abs 1 Satz 2 BGB";2;"199abs1satz2bgb";"199 Abs 1 Satz 2 BGB";""
"199 Abs 3 Nr 1 BGB";1;"199abs3nr1bgb";"199 Abs 3 Nr 1 BGB";""
"204 Abs 1 Nr 4 BGB";1;"204abs1nr4bgb";"204 Abs 1 Nr 4 BGB";""
"204 Nr 1 BGB";1;"204nr1bgb";"204 Nr 1 BGB";""
"249 Abs 1 BGB";1;"249abs1bgb";"249 Abs 1 BGB";""
"253 Abs 2 Nr 2 ZPO";1;"253abs2nr2zpo";"253 Abs 2 Nr 2 ZPO";""
"254 BGB";3;"254bgb";"254 BGB";""
"256 ZPO";1;"256zpo";"256 ZPO";""
"257 BGB";1;"257bgb";"257 BGB";""
"287 ZPO";3;"287zpo";"287 ZPO";""
"288 BGB";1;"288bgb";"288 BGB";""
"291 ZPO";1;"291zpo";"291 ZPO";""
"296 Abs 1 ZPO";1;"296abs1zpo";"296 Abs 1 ZPO";""
"296 ZPO";1;"296zpo";"296 ZPO";""
"296a";1;"296a";"296a";""
"296a ZPO";1;"296azpo";"296a ZPO";""
"298 StGB";3;"298stgb";"298 StGB";""
"301 Abs 1 ZPO";1;"301abs1zpo";"301 Abs 1 ZPO";""
"304 Abs 1 ZPO";2;"304abs1zpo";"304 Abs 1 ZPO";""
"33 Abs 1 Abs 3 S 1 GWB";1;"33abs1abs3s1gwb";"33 Abs 1 Abs 3 S 1 GWB";""
"33 Abs 1 Satz 1 GWB";1;"33abs1satz1gwb";"33 Abs 1 Satz 1 GWB";""
"33 Abs 1 Satz 1 Satz 3 GWB";1;"33abs1satz1satz3gwb";"33 Abs 1 Satz 1 Satz 3 GWB";""
"33 Abs 3 Satz 1 GWB";1;"33abs3satz1gwb";"33 Abs 3 Satz 1 GWB";""
"33 Abs 3 Satz 4 und 5 GWB";1;"33abs3satz4und5gwb";"33 Abs 3 Satz 4 und 5 GWB";""
"33 Abs 4 GWB";1;"33abs4gwb";"33 Abs 4 GWB";""
"33 Abs 4 S 1 GWB";2;"33abs4s1gwb";"33 Abs 4 S 1 GWB";""
"33 Abs 5 GWB";7;"33abs5gwb";"33 Abs 5 GWB";""
"33 Abs 5 S 1 GWB";1;"33abs5s1gwb";"33 Abs 5 S 1 GWB";""
"33 Abs 5 Satz 2 GWB";1;"33abs5satz2gwb";"33 Abs 5 Satz 2 GWB";""
"33 GWB";4;"33gwb";"33 GWB";""
"618 Abs 3 BGB";1;"618abs3bgb";"618 Abs 3 BGB";""
"7 O 11114";1;"7o11114";"7 O 11114";""
"823 Abs 2 BGB";2;"823abs2bgb";"823 Abs 2 BGB";""
"840 BGB";1;"840bgb";"840 BGB";""
"844 Abs 2 Satz 2";1;"844abs2satz2";"844 Abs 2 Satz 2";""
"Art 169 Abs 1 EGBGB";1;"art169abs1egbgb";"Art 169 Abs 1 EGBGB";""
"BGH 28 06 2011 KZR 7510";1;"bgh28062011kzr7510";"BGH 28 06 2011 KZR 7510";""
"BGH 2862011 KZR 7510";3;"bgh2862011kzr7510";"BGH 2862011 KZR 7510";""
"BGH 442000 XI ZR 4899";1;"bgh442000xizr4899";"BGH 442000 XI ZR 4899";""
"BGH 6112013 KZR 5811";1;"bgh6112013kzr5811";"BGH 6112013 KZR 5811";""
"BGH NJW 2006 1065";1;"bghnjw20061065";"BGH NJW 2006 1065";""
"BGH NJW 2013 928";1;"bghnjw2013928";"BGH NJW 2013 928";""
"EuZW 2006 529";1;"euzw2006529";"EuZW 2006 529";""
"LG Berlin 16122014 16 O 38413 Kart";1;"lgberlin1612201416o38413kart";"LG Berlin 16122014 16 O 38413 Kart";""
"OLG Duesseldorf 2022009 22 U 13508";1;"olgduesseldorf202200922u13508";"OLG Duesseldorf 2022009 22 U 13508";""
"OLG Duesseldorf e 1822015 VIU Kart 314";1;"olgduesseldorfe1822015viukart314";"OLG Duesseldorf e 1822015 VIU Kart 314";""
"OLG Karlsruhe 31 07 2013 6 U 5112 Kart";1;"olgkarlsruhe310720136u5112kart";"OLG Karlsruhe 31 07 2013 6 U 5112 Kart";""
"OLG Karlsruhe 31 72013 6 U 5112 Kart";1;"olgkarlsruhe31720136u5112kart";"OLG Karlsruhe 31 72013 6 U 5112 Kart";""
"So auch LG Dortmund 8 Zivilkammer 28 06 2017 8 O 2516 Kart";1;"soauchlgdortmund8zivilkammer280620178o2516kart";"So auch LG Dortmund 8 Zivilkammer 28 06 2017 8 O 2516 Kart";""
"ZoellerGreger ZPO 32 Auflage  256 Rn 8";1;"zoellergregerzpo32auflage256rn8";"ZoellerGreger ZPO 32 Auflage  256 Rn 8";""
